City,Latitude,Longitude,Max Temperature,Humidity,Cloud Cover,Wind Speed,Country,Date Time
Bantou,26.2151,117.4893,60.39,87,98,2.73,CN,1615327585
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,91.0,30,0,5.01,AR,1615327585
Punta Arenas,-53.15,-70.9167,60.8,55,40,24.16,CL,1615327586
Kudahuvadhoo,2.6708,72.8944,83.21,67,99,3.27,MV,1615327586
Albany,42.6001,-73.9662,48.2,49,20,17.27,US,1615327584
Novopokrovka,49.8425,36.5477,19.4,73,0,6.71,UA,1615327586
Ushuaia,-54.8,-68.3,64.4,45,40,12.66,AR,1615327517
Swan Hill,-35.3378,143.5544,58.41,70,68,9.48,AU,1615327587
Mar del Plata,-38.0023,-57.5575,66.99,63,20,11.5,AR,1615327587
Moerai,-22.4333,-151.3333,80.62,79,100,26.84,PF,1615327588
Quatre Cocos,-20.2078,57.7625,77.0,94,20,4.61,MU,1615327588
Busselton,-33.65,115.3333,66.0,76,100,1.99,AU,1615327448
Tākestān,36.0696,49.6959,45.0,58,0,11.34,IR,1615327588
Charters Towers,-20.1,146.2667,72.73,71,0,4.43,AU,1615327589
Aklavik,68.2191,-135.0107,3.2,66,75,10.36,CA,1615327589
Bengkulu,-3.8004,102.2655,75.33,83,94,4.54,ID,1615327589
Bluff,-46.6,168.3333,57.0,95,100,3.0,NZ,1615327589
Barrow,71.2906,-156.7887,14.0,73,40,8.05,US,1615327590
Vaini,-21.2,-175.2,80.6,57,20,10.36,TO,1615327590
Bethel,41.3712,-73.414,62.6,33,1,9.22,US,1615327591
Cidreira,-30.1811,-50.2056,70.84,75,31,6.89,BR,1615327591
Airai,-8.9266,125.4092,59.23,100,99,1.23,TL,1615327591
Hong Kong,22.2855,114.1577,68.0,82,38,3.0,HK,1615327508
Wenatchee,47.4235,-120.3103,51.01,49,90,4.61,US,1615327592
Kapaa,22.0752,-159.319,71.6,83,90,19.57,US,1615327592
Srednekolymsk,67.45,153.6833,-16.2,83,25,5.91,RU,1615327592
Saint-Louis,16.3333,-15.0,80.6,34,0,2.3,SN,1615327593
Trincomalee,8.5711,81.2335,80.82,78,12,8.68,LK,1615327593
Cape Town,-33.9258,18.4232,64.99,88,75,19.57,ZA,1615327586
Arraial do Cabo,-22.9661,-42.0278,77.0,78,40,8.05,BR,1615327593
Cocobeach,1.0002,9.5823,84.2,84,40,4.61,GA,1615327594
Geraldton,-28.7667,114.6,73.4,94,75,8.05,AU,1615327447
Kahului,20.8947,-156.47,73.4,78,40,3.44,US,1615327594
Biltine,14.5333,20.9167,78.6,15,0,9.84,TD,1615327594
Oyama,36.3,139.8,53.01,93,75,4.61,JP,1615327595
Sambava,-14.2667,50.1667,76.17,89,100,4.81,MG,1615327595
Donna,26.1703,-98.0519,82.4,39,40,19.57,US,1615327595
Lázaro Cárdenas,17.9583,-102.2,81.61,62,0,10.96,MX,1615327596
College,64.8569,-147.8028,28.99,63,90,1.63,US,1615327524
Tiksi,71.6872,128.8694,-16.76,88,72,4.7,RU,1615327596
Mungwi,-10.1732,31.3694,62.51,97,100,2.66,ZM,1615327597
Kupang,-10.1667,123.5833,75.2,100,40,1.14,ID,1615327597
Narsaq,60.9167,-46.05,23.0,63,90,5.75,GL,1615327597
