City,Latitude,Longitude,Max Temperature,Humidity,Cloud Cover,Wind Speed,Country,Date Time
Båtsfjord,70.6345,29.7185,26.6,74,75,16.11,NO,1614899087
Atuona,-9.8,-139.0333,79.92,75,1,13.24,PF,1614898975
Severo-Kuril'sk,50.6789,156.125,31.68,97,89,17.9,RU,1614899088
Talnakh,69.4865,88.3972,-4.7,89,100,8.68,RU,1614899090
Muros,42.7762,-9.0603,53.01,86,97,1.99,ES,1614899090
Zheleznodorozhnyy,55.7503,38.0042,26.6,74,0,6.71,RU,1614899090
Kapaa,22.0752,-159.319,70.0,88,90,8.05,US,1614899093
Torbay,47.6666,-52.7314,30.99,86,40,13.8,CA,1614899002
Lagoa,39.05,-27.9833,57.34,67,54,6.49,PT,1614899093
St. George's,12.0564,-61.7485,78.8,83,40,20.71,GD,1614899093
Clyde River,70.4692,-68.5914,-20.2,69,20,4.61,CA,1614899008
Aykhal,66.0,111.5,-31.38,74,10,7.85,RU,1614899094
Albany,42.6001,-73.9662,28.0,33,2,3.0,US,1614899094
Hobart,-42.8794,147.3294,55.99,50,75,14.97,AU,1614898925
Esim,4.8699,-2.2405,80.1,87,6,10.36,GH,1614899095
Vardø,70.3705,31.1107,23.0,79,40,16.11,NO,1614899097
Gimli,50.6336,-96.9907,30.2,74,13,6.91,CA,1614898931
Rikitea,-23.1203,-134.9692,80.56,76,66,5.28,PF,1614899097
Puerto Ayora,-0.7393,-90.3518,82.4,78,75,6.91,EC,1614899098
Ushuaia,-54.8,-68.3,57.2,41,40,12.66,AR,1614899098
Nālūt,30.3333,10.85,60.4,32,33,16.73,LY,1614899098
Balkanabat,39.5108,54.3671,44.53,56,2,13.91,TM,1614899099
Jiangyou,31.7667,104.7167,47.89,71,85,3.96,CN,1614899100
Hilo,19.7297,-155.09,77.0,57,1,8.05,US,1614899102
Aklavik,68.2191,-135.0107,-11.2,64,20,13.8,CA,1614899116
Yellowknife,62.456,-114.3525,-2.99,71,90,14.97,CA,1614898862
Arraial do Cabo,-22.9661,-42.0278,77.97,84,27,21.41,BR,1614899116
San Patricio,28.017,-97.5169,75.2,60,75,18.41,US,1614899116
Trairi,-3.2778,-39.2689,80.38,76,76,10.36,BR,1614899117
Caravelas,-17.7125,-39.2481,75.47,81,13,4.56,BR,1614899117
Jamestown,42.097,-79.2353,24.01,90,1,11.21,US,1614899118
Hasaki,35.7333,140.8333,50.0,87,75,3.44,JP,1614899118
Tiznit Province,29.5833,-9.5,54.3,78,59,5.88,MA,1614899118
Novaya Igirma,57.1334,103.9112,-8.63,86,99,4.38,RU,1614899119
Esperance,-33.8667,121.9,64.4,94,40,10.36,AU,1614899120
Mount Gambier,-37.8333,140.7667,57.2,82,90,6.91,AU,1614899121
Cape Town,-33.9258,18.4232,66.0,68,0,13.8,ZA,1614898884
Bethel,41.3712,-73.414,33.8,32,1,12.66,US,1614899122
